COIN 25 01:15:49 -5hrs,UNKNOWN VIEWS,POSITIVE VIEWS,NEGATIVE VIEWS,UNKNOWN COUNT,GOOD COUNT,BAD COUNT,PERCENT UP,START BTC PRICE,START USD PRICE (Mar-24-1009PM-2018)
BTC,243697,50692,28404,78,53,7,-3.95%,1.0,8580.56
ETH,12377,18115,12299,30,25,7,-3.93%,0.06066503817932629,520.54
XRP,3208,9747,203,12,15,1,-4.33%,7.42512143729547e-05,0.637117
BCH,8679,1691,0,10,3,0,0,0.0,0
LTC,21908,23393,0,6,19,0,-4.73%,0.018609508004139592,159.68
EOS,2490,3108,2954,3,4,2,-3.64%,0.0007808348173079613,6.70
ADA,16,327,18,1,4,1,-1.84%,2.1586586423263752e-05,0.185225
XLM,0,2372,0,0,7,0,-2.18%,2.7299616808226972e-05,0.234246
NEO,3589,2477,21,8,4,1,-6.16%,0.007583421128690901,65.07
MIOTA,43,0,0,1,0,0,-2.99%,0.00015383611326067297,1.32
DASH,745,297,0,2,2,0,-4.82%,0.048514316081934045,416.28
XMR,1071,4575,273,2,6,3,-4.08%,0.024047381522884288,206.34
TRX,89188,15063,24364,345,132,12,14.50%,5.680398482150349e-06,0.048741
XEM,1,0,0,1,0,0,-0.87%,3.234357664301631e-05,0.277526
USDT,0,0,0,0,0,0,-0.14%,0.00011643832104198328,0.999106
ETC,1105,132,0,1,1,0,0,0.0,0
VEN,19,1556,0,1,3,0,-3.46%,0.0003869211333526017,3.32
QTUM,51,31,25,2,1,1,-3.80%,0.002083780079621843,17.88
ICX,1184,809,8982,18,7,2,-11.16%,0.0004148913357636332,3.56
BNB,689,1383,158,5,3,1,0,0.0,0
LSK,235,42,0,2,2,0,-4.29%,0.0013542239667341058,11.62
OMG,0,132,0,0,3,0,-4.54%,0.0012877947360079064,11.05
NANO,3009,278,0,1,2,0,-5.57%,0.0008880539265502485,7.62
BTG,47,450,158,1,3,1,-3.68%,0.0007283906877872773,6.25
ZEC,11,32,0,1,2,0,-6.49%,0.027999338038542942,240.25
DGD,0,0,0,0,0,0,-5.14%,0.03923170515677299,336.63
XVG,10250,27844,536,42,47,5,6.52%,4.914714191148364e-06,0.042171
PPT,21,0,0,1,0,0,0.39%,0.0017970855049087705,15.42
STEEM,0,0,0,0,0,0,-2.62%,0.00022958874479054982,1.97
STRAT,877,26,0,2,2,0,-2.26%,0.0005894378789555533,5.06
BCN,0,0,0,0,0,0,-2.91%,3.118429252893313e-07,0.002677
WAVES,1363,48,0,1,4,0,-3.22%,0.0005405122052082544,4.64
SC,0,5646,0,0,1,0,4.97%,1.5533901414767397e-06,0.013335
