COIN 25 01:15:49 -5hrs,UNKNOWN VIEWS,POSITIVE VIEWS,NEGATIVE VIEWS,UNKNOWN COUNT,GOOD COUNT,BAD COUNT,PERCENT UP,START BTC PRICE,START USD PRICE (Mar-25-1204AM-2018)
BTC,656584,434095,75608,335,210,32,-3.90%,1.0,8589.92
ETH,195406,193407,30963,150,89,21,-3.60%,0.06077588615493508,522.06
XRP,69538,55319,2162,37,65,12,-3.64%,7.450884292286772e-05,0.640025
LTC,103972,163578,211627,46,55,139,-4.34%,0.01861484158176095,159.90
TRX,243177,77543,38487,1035,481,35,6.99%,5.5490621565742175e-06,0.047666
ETC,3353,2157,99455,4,16,6,0,0.0,0
ICX,5095,24320,28487,69,24,7,-11.07%,0.00040978262894182947,3.52
BNB,25634,58460,20642,14,15,6,0,0.0,0
XVG,114740,332538,29127,114,183,21,4.52%,4.968032298321754e-06,0.042675
OCN,8135,36506,671,23,32,7,10.83%,1.497802074990221e-06,0.012866
